Developer,City,Administrative division,country_code,Country,Est.,"Notable games, series or franchises",Notes
Revolution Software,York,England,GBR,United Kingdom,1990,Broken Sword seriesBeneath a Steel Sky,
Riot Games,Santa Monica,California,USA,United States,2006,League of Legends Legends of Runeterra Valorant,Acquired by Tencent in 2011
Rising Star Games,Luton,England,GBR,United Kingdom,2004,,Acquired by Thunderful in 2018
Robot Entertainment,Plano,Texas,USA,United States,2009,Orcs Must Die! seriesHero Academy seriesAge of Empires Online,
Rockstar Games,New York CityBangaloreLeedsLincolnLondonBallardvaleEdinburghCarlsbadOakville,New YorkKarnatakaEnglandScotland,USA,United States,2.00E+35,Grand Theft Auto franchiseManhunt seriesMidnight Club seriesRed Dead seriesBully,Developer/publisher; owned by Take-Two Interactive
Rocksteady Studios,London,England,GBR,United Kingdom,2005,Batman: Arkham seriesSuicide Squad: Kill the Justice League,Subsidiary of Warner Bros. Interactive Entertainment
Robinson Technologies,Hiroshima,,JPN,Japan,1989,Dink Smallwood,
Rovio Entertainment,Espoo,,FIN,Finland,2003,Angry Birds franchise,"Publisher, developer and distributor"
Ruffian Games,Dundee,Scotland,GBR,United Kingdom,2008,Crackdown 2,
Runic Games,Seattle,Washington,USA,United States,2008,Torchlight,Subsidiary of Perfect World; closed in 2017
Running with Scissors,Tucson,Arizona,USA,United States,1997,Postal series,
Saber Interactive,Millburn,New Jersey,USA,United States,2001,World War Z,Acquired by Embracer Group in 2020.[31]
Sand Grain Studios,Bucharest,,ROU,Romania,2002,Cabela's Big Game Hunter: 2004 Season,Dissolved in 2009[32]
Sandlot,Tokyo,,JPN,Japan,2001,Robot Alchemic DriveEarth Defense Force seriesZangeki no Reginleiv,Formed by former employees of Human Entertainment
Sanzaru Games,Foster City,California,USA,United States,2006,Sly Cooper: Thieves in TimeSonic Boom: Shattered CrystalSonic Boom: Fire & Ice,Acquired by Facebook in 2020.[33]
Sir-Tech,Ogdensburg,New York,USA,United StatesCanada,1979,Wizardry seriesJagged Alliance series,
Schell Games,Pittsburgh,Pennsylvania,USA,United States,2002,I Expect You To Die,Developer and publisher
SCS Software,Prague,,CRO,Czech Republic,1997,18 Wheels of Steel seriesEuro Truck Simulator series,
Sega,"Ota, Tokyo,San Francisco",California,USA,United States,1960,Sonic the Hedgehog franchiseGolden Axe seriesStreets of Rage seriesThe House of the Dead seriesSuper Monkey Ball seriesPuyo Puyo seriesJet Set Radio seriesPhantasy Star seriesSakura Wars seriesYakuza seriesValkyria Chronicles seriesMushiking seriesHatsune Miku: Project DIVA series,"Third-party (Formerly first-party) developer, publisher, and former console manufacturer; subsidiary of Sega Sammy Holdings"
SEGA Interactive R&D Division 1 (Sega AM1),Tokyo,,JPN,Japan,1984,World Club Champion Football series,Division of SEGA Interactive
SEGA Interactive R&D Division 2 (Sega AM2),Ota,,JPN,Japan,1985,Virtua Fighter seriesShenmue seriesBorder Break series,"Division of SEGA Interactive, founded by Yu Suzuki"
Sega AM3,Tokyo,,JPN,Japan,1991,Crazy Taxi seriesVirtua Tennis series,Division of Sega
Sega CS Research and Development No. 2 (Sonic Team),Tokyo,,JPN,Japan,1996,Sonic The Hedgehog franchisePuyo Puyo seriesProject Sakura Wars,Division of SEGA Games
Sega Sports R&D,Tokyo,,JPN,Japan,1994,Panzer Dragoon seriesJet Set Radio seriesLet's Make a Soccer Team! seriesMario & Sonic at the Olympic Games series,Division of Sega
Sensible Software,Cambridge,England,GBR,United Kingdom,1986,Sensible Soccer seriesCannon Fodder seriesMega Lo ManiaWizballWizkidMicroprose SoccerShoot-'Em-Up Construction KitParallaxSensible Golf,"Developer, studio closed and company acquired by Codemasters in 1999"
Shift,Kanagawa,,JPN,Japan,1996,Ape Escape Academy seriesGod Eater series,
SIE Bend Studio,Bend,Oregon,USA,United States,1993,Syphon Filter seriesDays Gone,"Founded by Blank, Berlyn and Co. and Eidetic, acquired by Sony Interactive Entertainment as a part of SIE Worldwide Studios in 2000."
SIE San Mateo Studio (formerly SIE Foster City Studio),San Mateo,California,USA,United States,1998,,Division of SIE Worldwide Studios; relocated from Foster City to San Mateo
SIE Japan Studio,Tokyo,,JPN,Japan,1993,Ape Escape seriesIcoShadow of the ColossusSiren seriesPatapon seriesLoco Roco seriesGravity Rush seriesKnack seriesThe Last Guardian,Division of SIE Worldwide Studios
SIE London Studio,London,England,GBR,United Kingdom,2002,SingStar series,Division of SIE Worldwide Studios
SIE San Diego Studio,San Diego,California,USA,United States,2001,MLB: The Show series,Division of SIE Worldwide Studios
SIE Santa Monica Studio,Los Angeles,California,USA,United States,1999,God of War series,Division of SIE Worldwide Studios
SCE Studio Liverpool,Liverpool,England,GBR,United Kingdom,1984,Wipeout seriesFormula One seriesColony Wars series,"Former Division of SIE Worldwide Studios; shut down by Sony on August 22, 2012"
SIE Worldwide Studios,"Tokyo, Fukuoka, Santa Monica, Los Angeles, San Diego, Bend, Amsterdam, London, Guildford, Cambridge","California, Washington, Oregon, England",JPN,"Japan, United States, Netherlands, United Kingdom",2005,,A group of first-party development studios and subsidiaries owned by Sony Interactive Entertainment
SingleTrac,Salt Lake City,Utah,USA,United States,1994,Twisted Metal 1–2Jet Moto 1–2Warhawk (1995),Defunct in 2000
Shengqu Games,Shanghai,,CHI,China,1999,,Acquired by Zhejiang Century Huatong in 2017
Sherman3D,Petaling Jaya,,MAL,Malaysia,2003,Alpha Kimori,
Shin'en Multimedia,Munich,,DEU,Germany,1999,Fast Racing League series,
Sierra Entertainment,Oakhurst,California,USA,United States,1979,Mystery HouseKing's Quest seriesSpace Quest seriesPolice Quest seriesLeisure Suit Larry seriesQuest for Glory seriesGabriel Knight series,Subsidiary of Activision; internal development ceased in 1999; closed in 2004
Silicon Knights,St. Catharines,Ontario,CAN,Canada,1992,Blood Omen: Legacy of KainEternal Darkness: Sanity's RequiemToo Human,Closed in 2014
Silicon Studio,Tokyo,,JPN,Japan,2000,Bravely Default series,They still develop game middlewares but their game contents division was sold to CREEK & RIVER.[34]
Simtex,Austin,Texas,USA,United States,1988,Master of Orion seriesMaster of Magic,Closed in 1997
skip Ltd.,Tokyo,,JAP,Japan,2000,bit Generations seriesChibi-Robo! series,Formed by former employees of Love-de-Lic
Slant Six Games,Vancouver,British Columbia,CAN,Canada,2005,SOCOM U.S. Navy SEALs seriesResident Evil: Operation Raccoon City,Defunct in 2013
Sledgehammer Games,Foster City,California,USA,United States,2009,Call of Duty: Advanced Warfareco-developer of Call of Duty: Modern Warfare 3,Subsidiary of Activision
Snail,Suzhou,,CHI,China,2000,Voyage Century Online,
Snapshot Games,Sofia,,BGR,Bulgaria,2013,Chaos Reborn,Acquired by Embracer Group in 2020.[18]
Slightly Mad Studios,London,England,GBR,United Kingdom,2008,Project CARS series,Acquired by Codemasters in 2019[35]
Slipgate Ironworks,Aars,,DEN,Denmark,2017,Rad Rodgers,Formed by former employees of Interceptor Entertainment
Slitherine Software,Epsom,England,GBR,United Kingdom,2000,Horrible Histories: Ruthless Romans,
Smilegate,Seoul,,KOR,South Korea,2002,CrossFire series,
SNK,Osaka,,JPN,Japan,2001,Fatal Fury seriesThe King of Fighters seriesMetal Slug seriesSamurai Showdown seriesThe Last Blade seriesWorld Heroes series,Acquired by 37Games in 2015; game hardware and software developer/publisher/manufacture
Sobee Studios,Istanbul,,TUR,Turkey,2000,I Can FootballSüpercan,Merged into TTNET
Snowblind Studios,Seattle,Washington,USA,United States,1997,Top Gear OverdriveChampions of Norrath,Subsidiary of Warner Bros. Interactive Entertainment; defunct in 2012
Software 2000,Eutin,,GER,Germany,1987,Pizza Tycoon series,Closed in 2002
Sony Computer Entertainment,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)","Japan (SIE, Inc.) California (SIE, LLC)",USA,United States,1994,Various titles,"First-party developer, publisher and console manufacturer"
Sora Ltd.,Tokyo,,JPN,Japan,2005,Kid Icarus: UprisingSuper Smash Bros. for Nintendo 3DS and Wii USuper Smash Bros. Ultimate,
Spellbound Entertainment,Offenburg,,DEU,Germany,1994,Desperados seriesArcania: Gothic 4,Closed in 2012
Spiders,Paris,,FRA,France,2008,The TechnomancerGreedFall,Acquired by Bigben Interactive (latterly Nacon) in 2019[36]
Spike,Tokyo,,JPN,Japan,1991,Dragon Ball Z: Budokai Tenkaichi series,Merged with Chunsoft to become Spike Chunsoft in 2012
Spike Chunsoft,Tokyo,,JPN,Japan,2012,Zero Escape seriesDanganronpa franchiseAI: The Somnium FilesMystery Dungeon franchise Pokémon Mystery Dungeon series Jump Force,The result of a merger between Spike and Chunsoft and is owned by Dwango
Spil Games,Hilversum,,NLD,Netherlands,2001,,Web game developer/publisher. Acquired by Azerion.[37][38]
Splash Damage,London,England,GBR,United Kingdom,2001,Enemy Territory: Quake WarsBrinkDirty Bomb,Subsidiary of Leyou
Sproing Interactive Media,Vienna,,AUS,Austria,2001,Cursed Mountain,Defunct in 2017; their assets were acquired by Purple Lamp Studios
Square Enix,"Shinjuku, Tokyo",,JPN,Japan,1975,Final Fantasy franchiseMana seriesSaGa seriesChrono TriggerBrave Fencer MusashiStar Ocean franchiseValkyrie Profile seriesKingdom Hearts franchiseDragon Quest franchiseDrakengard series Nier series Bravely Default seriesOctopath TravelerFront Mission series,Developer/publisher; previously known as Square Co. and Enix
Squad,Mexico City,,MEX,Mexico,2009,Kerbal Space Program series,
Stainless Games,Newport,England,GBR,United Kingdom,1993,Magic: The Gathering – Duels of the Planeswalkers series,
Stainless Steel Studios,Cambridge,Massachusetts,USA,United States,1998,Empire Earth,Closed in 2005
Starbreeze Studios,Uppsala,,SWE,Sweden,1998,EnclaveRiddickSyndicateBrothers: A Tale of Two Sons,
Stardock,Plymouth,Michigan,USA,United States,1991,Galactic Civilizations series,Developer/publisher
Sting Entertainment,Tokyo,,JPN,Japan,1989,Baroque seriesDungeon Travelers series,
Strategic Simulations,Sunnyvale,California,USA,United States,1979,Gold Box seriesPanzer General series,Closed in 1994
Stoic Studio,Austin,Texas,USA,United States,2011,The Banner Saga series,Founded by former employees of BioWare
Strawdog Studios,Derby,England,GBR,United Kingdom,2003,Geon series,
Straylight Studios,Dunedin,,NZL,New Zealand,2004,,Closed in 2009
Streamline Studios,Kuala Lumpur,,MAL,Malaysia,2001,,
Success,Tokyo,,JPN,Japan,1978,Touch Detective series,
Sucker Punch Productions,Bellevue,Washington,USA,United States,1997,Rocket: Robot on WheelsSly Cooper seriesInfamous seriesGhost of Tsushima,Division of SIE Worldwide Studios since 2011
Sumo Digital,Sheffield,England,UKI,United Kingdom,2003,LittleBigPlanet 3Crackdown 3,
Supercell,Helsinki,,FIN,Finland,2010,Clash of ClansHay DayBoom BeachClash Royale,Subsidiary of Tencent
Supermassive Games,Guildford,England,UKA,United Kingdom,2008,Until Dawn,
SuperVillain Studios,Orange County,California,USA,United States,2004,Order Up!,acquired by Nicalis in 2017
Survios,Los Angeles,California,USA,United States,2013,,
Studio Wildcard,Kirkland,Washington,USA,United States,2014,Ark: Survival Evolved,
Swingin' Ape Studios,Aliso Viejo,California,USA,United States,2000,Metal Arms: Glitch in the System,Acquired by Blizzard Entertainment
StormRegion,Budapest,,HUN,Hungary,2001,S.W.I.N.E.Codename: Panzers series,Acquired by 10tacle Studios AG in 2007 and then defunct in 2008
Sunstorm Interactive,Indianapolis,Indiana,USA,United States,1995,Deer Hunter series,Defunct in 2003
Syn Sophia,Tokyo,,JPN,Japan,1995,WCW/nWo RevengeSimCity DS seriesStyle Savvy seriesPretty Series franchise Pretty Rhythm series PriPara series Pri Chan series,
SystemSoft Beta,Tokyo,,JPN,Japan,1999,Daisenryaku series,"Subsidiary of Nippon Ichi Software, successor of SystemSoft Alpha[39]"
Taito,"Shinjuku, Tokyo",,JPN,Japan,1953,Space InvadersBubble Bobble series,Developer/publisher; acquired by Square Enix
Tango Gameworks,"Minato, Tokyo",,JPN,Japan,2010,The Evil Within seriesGhostwire: Tokyo,"Acquired by ZeniMax Media in 2010, and founded by Shinji Mikami."
Tag Games,Dundee,Scotland,UKA,United Kingdom,2006,,
TaleWorlds Entertainment,Ankara,,TUR,Turkey,2005,Mount & Blade series,
Tamsoft,Asakusa,,JPN,Japan,1992,OneeChanbara seriesSenran Kagura series,
T&E Soft,Aichi,,JPN,Japan,1982,Hydlide series,Merged into Spike Chunsoft in 2013
Tantrumedia,Wirral,England,GBR,United Kingdom,2003,,
Tantalus Media,Melbourne,Victoria,AUS,Australia,1994,,
Tarsier Studios,Malmö,,SWE,Sweden,2004,Little Nightmares,Acquired by Embracer Group in 2019.[40]
Tate Multimedia,Warsaw,,POL,Poland,2002,Urban Trial Freestyle,
Team17,Ossett,England,GBR,United Kingdom,1990,Alien Breed seriesWorms seriesThe Escapists series,
Team Bondi,Sydney,New South Wales,AUS,Australia,2003,L.A. Noire,Closed in 2011
Team Ico,Tokyo,,JPN,Japan,1997,IcoShadow of the Colossus,Division of SIE Japan Studio; Their staffs moved to genDESIGN [ja]
Team Ninja,Tokyo,,JPN,Japan,1995,Ninja Gaiden seriesDead or Alive franchiseNioh seriesMarvel Ultimate Alliance 3,Division of Koei Tecmo Games; formerly a division of Tecmo
Techland,Ostrów Wielkopolski,,POL,Poland,1991,Chrome seriesCall Of Juarez seriesDead Island seriesDying Light,Developer/publisher
Tecmo,Tokyo,,JPN,Japan,1967,Ninja Gaiden seriesDead or Alive franchiseMonster Rancher seriesGallop Racer seriesFatal Frame series,Tecmo and Koei co-founded Koei Tecmo Holdings in 2009 and Tecmo was merged into Koei Tecmo Games in 2010
Telltale Games,San Rafael,California,USA,United States,2004,Sam & Max episodic seriesThe Walking Dead seriesThe Wolf Among UsTales from the BorderlandsGame of ThronesMinecraft: Story Mode,Founded by former employees of LucasArts
Tencent,Shenzhen,,CHN,China,1998,,"Developer, publisher, online services company"
Tencent Games,Shenzhen,,CHN,China,2003,Ring of Elysium,Division of Tencent Interactive Entertainment
Tequila Works,Madrid,,ESP,Spain,2009,Deadlight,
Terminal Reality,Lewisville,Texas,USA,United States,1994,Monster Truck Madness series,Closed in 2013
Tetris Online,Honolulu,Hawaii,USA,United States,2006,Tetris Friends,Closed in 2019
Teyon,Kraków,,POL,Poland,2006,Heavy Fire series,
Thatgamecompany,Santa Monica,California,USA,United States,2006,JourneySky,
The Chinese Room,Brighton,England,USA,United Kingdom,2007,Amnesia: A Machine For Pigs,Subsidiary of Sumo Digital
The Coalition,Vancouver,,CAN,Canada,2010,Gears of War series,Subsidiary of Microsoft Studios
The Farm 51,Gliwice,,POL,Poland,2005,Get Even,
The Initiative,Santa Monica,California,USA,United States,2018,,Subsidiary of Microsoft Studios
THQ,Agoura Hills,California,USA,United States,1989,,"Developer/publisher; defunct in 2013; their assets were acquired by Nordic Games, 505 Games, or Gearbox Software[41]"
THQ Nordic,ViennaKarlstad,,AUS,Austria,2011,SpellForce 3,Developer/publisher
Three Fields Entertainment,Petersfield,England,GBR,United Kingdom,2014,Danger Zone seriesDangerous Driving series,Founded by the founders of Criterion Games
Three Rings Design,San Francisco,California,USA,United States,2001,Doctor Who: Worlds in Time,
TimeGate Studios,Sugar Land,Texas,USA,United States,1998,Kohan seriesSection 8 series,
TiMi Studios,Shenzhen,,CHN,China,2008,Call of Duty: MobilePokémon Unite,Subsidiary of Tencent Games
Toaplan,Tokyo,,JPN,Japan,1984,Snow Bros.,Developer of arcade games; went bankrupt and closed in 1994
ToeJam & Earl Productions,San Francisco,California,USA,United States,1989,ToeJam & Earl series,Founded by Mark Voorsanger and Greg Johnson; became defunct in 2003
Tokyo RPG Factory,Tokyo,,JAP,Japan,2014,I Am SetsunaLost SphearOninaki,Subsidiary of Square Enix
TopWare Interactive,Karlsruhe,,DEU,Germany,1995,,Publisher (developing in Reality Pump Studios division)
Torpex Games,Bellevue,Washington,USA,United States,2005,Schizoid,
Torus Games,Bayswater,Victoria,AUS,Australia,1994,Scooby-Doo! First FrightsScooby-Doo! and the Spooky SwampShrek Smash n' Crash RacingMonster Jam,
Tose,Kyoto,,JPN,Japan,1979,The Legendary Starfy seriesDragon Quest Monsters seriesSlime seriesWorld of Final Fantasy,
Toys for Bob,Novato,California,USA,United States,1989,Skylanders seriesSpyro Reignited Trilogy,Subsidiary of Activision
Trapdoor,Montreal,Quebec,CAN,Canada,2010,Warp,
Transmission Games,Melbourne,Victoria,AUS,Australia,1996,Heroes of the PacificHeroes Over Europe,Closed in 2009
Traveller's Tales,Knutsford,England,GBR,United Kingdom,1990,Lego series,Subsidiary of TT Games
Treyarch,Santa Monica,California,USA,United States,1996,Call of Duty seriesSpider-Man (2002),Acquired by Activision in 2001.
Treasure,Tokyo,,JPN,Japan,1992,Gunstar HeroesDynamite HeaddyGuardian HeroesAlien SoldierBangai-OIkarugaSin and PunishmentSin & Punishment: Star SuccessorGaist Crusher,
tri-Ace,Tokyo,,JPN,Japan,1995,Star Ocean franchiseValkyrie Profile series,Acquired by Nepro Japan (currently NJ Holdings [ja]) in 2015
tri-Crescendo,Tokyo,,JPN,Japan,1999,Digimon World Re:Digitize series,
Trion Worlds,Redwood City,California,USA,United States,2006,Rift,Defunct in 2018; their assets were acquired by Gamigo [de][42]
Tripwire Interactive,Roswell,Georgia,USA,United States,2005,Killing Floor seriesRed Orchestra: Ostfront 41-45,
Triumph Studios,Delft,,NET,Netherlands,1997,Age of Wonders seriesOverlord series,Acquired by Paradox Interactive
Turn 10 Studios,Redmond,Washington,USA,United States,2001,Forza Motorsport series,Subsidiary of Microsoft Studios
Turtle Rock Studios,Lake Forest,California,USA,United States,2002,Left 4 Dead seriesEvolve,
Two Point Studios,Surrey,England,GBR,United Kingdom,2016,Two Point Hospital,Formed by former employees of Lionhead Studios; acquired by Sega in 2019
Two Tribes,Amersfoort,,NLD,Netherlands,2000,Toki Tori,
Typhoon Games (HK),Hong Kong SAR,,CHN,China,2001,,Subsidiary of Typhoon Entertainment (Asia)
Ubisoft,Montreuil-sous-Bois,,ITA,Europe,1986,Rayman seriesAssassin's Creed seriesJust Dance seriesPrince of Persia seriesFar Cry seriesZombiUTom Clancy's Ghost Recon seriesTom Clancy's Rainbow Six seriesTom Clancy's Splinter Cell seriesBeyond Good & Evil series,Developer/publisher
Ubisoft Blue Byte,Düsseldorf,,DEU,Germany,1988,Battle Isle seriesThe Settlers seriesAnno series,Acquired by Ubisoft
Ubisoft Reflections,Newcastle upon Tyne,England,GBR,United Kingdom,1984,Driver seriesDestruction Derby series,Acquired by Ubisoft
UEP Systems,Tokyo,,JPN,Japan,1985,Cool Boarders series,Defunct in 2001
Ultimate Play the Game,Ashby-de-la-Zouch,England,GBR,United Kingdom,1982,JetpacLunar JetmanAtic AtacSabreman seriesAlien 8,Predecessor to Rare; Defunct in 1988
Undead Labs,Seattle,Washington,USA,United States,2009,State of Decay series,Acquired by Microsoft Studios in 2018
United Front Games,Vancouver,British Columbia,CAN,Canada,2006,ModNation RacersSleeping DogsLittleBigPlanet Karting,Defunct in 2016
United Game Artists,Tokyo,,JAP,Japan,1996,Space Channel 5 seriesRez,Subsidiary of Sega
Universomo,Tampere,,FIN,Finland,2002,,Defunct in 2010
Valve,Kirkland,Washington,USA,United States,1996,Half-Life seriesPortal seriesLeft 4 Dead seriesTeam Fortress 2Dota 2Counter-Strike series,"Developer, publisher and distributor"
Vanillaware,"Chūō-ku, Osaka",,JPN,Japan,2002,Odin SphereGrimGrimoireMuramasa: The Demon BladeDragon's Crown13 Sentinels: Aegis Rim,
Vanpool,Tokyo,,JPN,Japan,1999,Tingle seriesSuper Kirby Clash,Formed by former employees of Love-de-Lic
Venan Entertainment,Cromwell,Connecticut,USA,United States,2002,Ninjatown,Their assets were acquired by Megaspace Industries.
Vicarious Visions,Albany (Menands),New York,USA,United States,1990,Guitar Hero seriesTony Hawk seriesCrash Bandicoot N. Sane TrilogyMarvel: Ultimate Alliance 2,Acquired by Activision in 2004.
Vigil Games,Austin,Texas,USA,United States,2005,Darksiders series,Subsidiary of THQ; defunct in 2013
Virtual Heroes,Raleigh,North Carolina,USA,United States,2004,Moonbase Alpha,
Virtuos,,,SIN,Singapore,2004,Monster Jam: Path of DestructionGhost Recon Predator,
Visceral Games,Redwood City,California,USA,United States,1998,Dead Space series,"Formerly known as EA Redwood Shores, former in-house development studio and subsidiary of Electronic Arts, closed in 2017."
Visual Concepts,Novato,California,USA,United States,1988,NFL 2KNBA 2K seriesMLB 2K series,Subsidiary of 2K Sports
Vostok Games,Kyiv,,UKR,Ukraine,2012,Survarium,"Vostok Games was founded in March 2012 by former employees of GSC Game World, following that firm's closing"
VoxelStorm,Manchester,England,GBR,United Kingdom,2012,AdvertCity,
Wahoo Studios,Orem,Utah,USA,United States,2001,,
Warhorse Studios,Prague,,CZE,Czech Republic,2011,Kingdom Come: Deliverance,Acquired by Koch Media in 2019
Wargaming,NicosiaMinsk,,CYP,CyprusBelarus,1998,World of Tanks,Developer/publisher
Wargaming Saint Petersburg,Saint Petersburg,,RUS,Russia,1991,World of Warships,Subsidiary of Wargaming
Wargaming Seattle,Redmond,Washington,USA,United States,1998,Supreme Commander,Subsidiary of Wargaming
Warner Bros. Interactive Entertainment,Chicago,Illinois,USA,United States,1988,Batman: Arkham seriesLego seriesF.E.A.R. seriesMortal Kombat series,Division of Warner Bros. Entertainment which is a subsidiary of WarnerMedia
WB Games Boston (formerly Turbine),Needham,Massachusetts,USA,United States,1994,Asheron's Call seriesDungeons & Dragons OnlineThe Lord of the Rings Online,Subsidiary of Warner Bros. Interactive Entertainment
WB Games - Avalanche (formerly Avalanche Software),Salt Lake City,Utah,USA,United States,1995,Disney Infinity series,Subsidiary of Disney Interactive Studios; defunct in 2016Relaunched by Warner Bros. in 2017.
Webfoot Technologies,Chicago,Illinois,USA,United States,1993,Dragon Ball Z: The Legacy of GokuYou Don't Know Jack!  series[which?]Deadly Rooms of Death,Creators of many Dragon Ball Z games for Atari; specializes in Nintendo platforms
WeMade,Seoul,,KOR,South Korea,2000,The Legend of Mir series,
Westone Bit Entertainment,Tokyo,,JPN,Japan,1986,Wonder Boy seriesMonster World series,Bankrupt and became defunct in 2014
Westwood Studios,Las Vegas,Nevada,USA,United States,1985,Eye of the BeholderDune IIThe Legend of Kyrandia seriesLands of Lore seriesCommand & Conquer series,Acquired by Electronic Arts in 1998 and closed in 2003.
Wideload Games,Chicago,Illinois,USA,United States,2003,Stubbs the Zombie in Rebel Without a Pulse,Subsidiary of Disney Interactive Studios; closed in 2014
Wildfire Studios,Brisbane,Queensland,AUS,Australia,1995,,
Wizet studio (Nexon development 1st division),Seoul,,KOR,South Korea,1999,MapleStory,Acquired by Nexon and became to its division
Wolfire Games,Berkeley,California,USA,United States,2003,,
World Forge,Voronezh,,RUS,Russia,2004,Ancient Wars: Sparta,Founded by Burut Creative Team employees.
Xbox Game Studios,Redmond,Washington,USA,United States,2002,Age of Empires seriesCrackdown seriesForza Motorsport seriesGears of War seriesHalo seriesMicrosoft Flight Simulator seriesZoo Tycoon series,"First-party developer, publisher, and console manufacturer; established as Microsoft Game Studios"
XPEC Entertainment,Taipei,,TAI,Taiwan,2000,Bounty Hounds,Developer/publisher
Yager Development,Berlin,,DEU,Germany,1999,Spec Ops: The Line,
Yuke's,Osaka,,JPN,Japan,1993,WWE SmackDown! vs Raw,
ZeniMax Online Studios,Hunt Valley,Maryland,USA,United States,2007,The Elder Scrolls Online,Subsidiary of ZeniMax Media Inc
Zen Studios,Budapest,,HUN,Hungary,2003,Pinball FX series,Acquired by Embracer Group in 2020.[18]
Zipper Interactive,Redmond,Washington,USA,United States,1995,SOCOM U.S. Navy SEALs seriesMechWarrior 3,Shut down in 2012 by Sony Computer Entertainment
Zombie Studios,Seattle,Washington,USA,United States,1994,Spec Ops: Rangers Lead the WayBlacklight: Retribution,
ZootFly,Ljubljana,,SLO,Slovenia,2002,Marlow Briggs and the Mask of Death,Acquired by Elektroncek
Zynga,San Francisco,California,USA,United States,2007,FarmVilleZynga Poker,Social network game developer.
