Developer,City,Administrative division,country_code,Country,Est.,"Notable games, series or franchises",Notes
Compile Heart,Tokyo,,JPN,Japan,2006,Hyperdimension Neptunia franchiseMary Skelter seriesRecord of Agarest War,Developer/publisher; subsidiary of Idea Factory
Compulsion Games,Montreal,Quebec,CAN,Canada,2009,ContrastWe Happy Few,Acquired by Microsoft Studios in 2018
Core Design,Derby,England,GBR,United Kingdom,1988,Tomb Raider series,Subsidiary of Eidos Interactive; closed down in 2006
Crafts & Meister,Osaka,,JPN,Japan,2004,Gundam Breaker series,
Crawfish Interactive,Croydon,England,GBR,United Kingdom,1997,,Defunct in 2002
Creat Studios,Canton,Massachusetts,USA,United States,1990,American Chopper 2: Full Throttle,
Creative Assembly,Horsham,England,GBR,United Kingdom,1987,Total War seriesAlien: Isolation,Acquired by Sega in 2005
Creatures,Tokyo,,JPN,Japan,1995,Pokémon Ranger seriesDetective Pikachu,
Criterion Games,Guildford,England,GBR,United Kingdom,1993,Burnout series,Subsidiary of Electronic Arts
Croteam,Zagreb,,CRO,Croatia,1993,Serious Sam seriesThe Talos Principle,
Cryo Interactive,Paris,,FRA,France,1992,DuneEgypt series,Bankrupt in 2002
Culture Brain Excel,Tokyo,,JPN,Japan,1980,Hiryū no Ken seriesSuper Chinese series,
Crea-Tech,Tokyo,,JPN,Japan,1988,Metal Max series,
Cryptic Studios,Los Gatos,California,USA,United States,2000,City of HeroesChampions OnlineStar Trek Online,Subsidiary of Perfect World
Crystal Dynamics,Redwood City,California,USA,United States,1992,Legacy Of Kain seriesTomb Raider series (second era),Acquired by Square Enix in 2009
Crytek,Frankfurt,,DEU,Germany,1999,Far CryCrysis seriesRyse: Son of Rome,
Crytek UK,Nottingham,England,GBR,United Kingdom,1999,TimeSplitters series,Founded as Free Radical Design; acquired by Crytek in 2009; defunct in 2014
Cyan Worlds,Mead,Washington,USA,United States,1987,Myst series,
Cyanide,Nanterre,,FRA,France,2000,Pro Cycling Manager series,Acquired by Bigben Interactive (latterly Nacon) in 2018
CyberConnect2,Fukuoka,,JPN,Japan,1996,.hack franchise .hack series .hack//G.U. series Naruto: Ultimate Ninja seriesDragon Ball Z: Kakarot,
Cyberlore Studios (Blueline Simulations[9]),Northampton,Massachusetts,USA,United States,1992,Majesty: The Fantasy Kingdom Sim,Developer of computer games
CyberStep,Tokyo,,JPN,Japan,2000,GetAmpedCosmic BreakGetAmped2Onigiri,Developer/publisher of global online games
Cygames,Tokyo,,JPN,Japan,2011,The Idolmaster Cinderella Girls seriesGranblue Fantasy seriesShadowversePrincess Connect! seriesDragalia Lost,Subsidiary of CyberAgent
Dambuster Studios,Nottingham,England,GBR,United Kingdom,2014,Homefront: The RevolutionDead Island 2,Formed by former employees of Crytek UK; acquired by Koch Media in 2014 and managed by its Deep Silver division
Danger Close Games,Los Angeles,California,USA,United States,1995,Medal of Honor series,Subsidiary of Electronic Arts; defunct in 2013
Day 1 Studios,Chicago,Illinois,USA,United States,2001,Axis & Allies seriesMechAssault series,Merged with WarGaming[10]
Daybreak Game Company,San Diego,California,USA,United States,1997,EverQuest seriesPlanetSide seriesH1Z1 series,Acquired by Enad Global 7 in 2020.[11]
Deadline Games,Copenhagen,,DEN,Denmark,1996,Total OverdoseWatchmen: The End Is NighFaith and a .45,
Deck13,Frankfurt,,DEU,Germany,2001,Ankh seriesThe Surge series,Acquired by Focus Home Interactive in 2020.[12]
Deep Silver Volition,Champaign,Illinois,USA,United States,1996,Saints Row seriesRed Faction series,Acquired by Koch Media in 2013 and managed by its Deep Silver division
Demiurge Studios,Cambridge,Massachusetts,USA,United States,2002,,acquired by Sega in 2015
DeNA,Tokyo,,JPN,Japan,1999,Final Fantasy Record KeeperPokémon MastersMario Kart Tour,
devCAT Studios (Nexon development 3rd division),Seoul,,KOR,South Korea,2001,MabinogiVindictus,Division of Nexon Korea
Developer House (Developer House Technology PVT LTD)[13],Panchkula,,IND,India,2015,,
Dhruva Interactive,Bangalore,,IND,India,1997,,Acquired by Starbreeze Studios in 2016 and then they were acquired by Rockstar Games and were merged into Rockstar India in 2019
Die Gute Fabrik,Copenhagen,,DEN,Denmark,2006,Where is my Heart?JoustSportsfriends,
Digital Extremes,London,Ontario,CAN,Canada,1993,Warframe,"Subsidiary of Leyou; Founded by James Schmalz, co-creator of Unreal series."
Digital Eclipse,Emeryville,California,USA,United States,1992,,Division of Other Ocean Group[14]
Digitalmindsoft,Ulm,,DEU,Germany,2006,Men of War series,
Digital Reality,Budapest,,HUN,Hungary,1991,Imperium Galactica series,Defunct in 2013; their assets were acquired by Nordic Games[15]
Dimps,Osaka,,JPN,Japan,2000,Street Fighter IVDragon Ball Z: Budokai seriesDragon Ball Xenoverse seriesSword Art Online: Fatal Bullet,
Disney Interactive Studios,Glendale,California,USA,United States,1988,,Publisher and subsidiary of The Walt Disney Company; closed in 2016
Dontnod Entertainment,Paris,,FRA,France,2008,Life Is Strange seriesTell Me Why,
DotEmu,Paris,,FRA,France,2007,Wonder Boy: The Dragon's Trap Streets of Rage 4,
Double Fine Productions,San Francisco,California,USA,United States,2000,PsychonautsBroken AgeGang Beasts,Founded by former employees of LucasArts; acquired by Microsoft in 2019
Dynamix,Eugene,Oregon,USA,United States,1984,Red BaronFront Page Sports seriesBetrayal at KrondorTribes seriesMechWarrior,Closed in 2001
Dovetail Games,Chatham,England,GBR,United Kingdom,2008,Train Simulator franchise,
The Dovetail Group,,,USA,United States,1984,,Early developer of music video games
EA Black Box,British Columbia,,CAN,Canada,1998,Skate series,Subsidiary of Electronic Arts; closed in 2013
EA Digital Illusions CE (EA DICE),Stockholm,,SWE,Sweden,1992,Battlefield seriesMirror's Edge,Acquired by Electronic Arts in 2004
EA Gothenburg,Gothenburg,,SWE,Sweden,2011,Need for Speed Payback,Subsidiary of Electronic Arts
EA Vancouver (formerly Distinctive Software),Burnaby,British Columbia,CAN,Canada,1982,Test DriveSSX series,Acquired by Electronic Arts in 1991
Eat Sleep Play,Salt Lake City,Utah,USA,United States,2007,Twisted Metal series,Defunct in 2017
Eko Software,Paris,,FRA,France,1999,,Acquired by Bigben Interactive (latterly Nacon) in 2018
Egosoft,Würselen,,DEU,Germany,1988,X series,
Eden Games,Lyon,,FRA,France,1998,Test Drive Unlimited series,Former subsidiary of Atari SA
Eighting,Tokyo,,JPN,Japan,1993,Kururin seriesKamen Rider: Climax seriesKamen Rider: Battride War seriesMarvel vs. Capcom 3: Fate of Two Worlds,Acquired by COLOPL
Electronic Arts,Redwood City,California,USA,United States,1982,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,Developer/publisher/distributor
EA Sports,Redwood City,California,USA,United States,1982,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,Developer/publisher/distributor
Elemental Games,Vladivostok,,RUS,Russia,1999,Space Rangers,Defunct in 2015
Engine Software,Doetinchem,,NLD,Netherlands,1995,,Also middleware developer
Ensemble Studios,Dallas,Texas,USA,United States,1995,Age of Empires seriesAge of MythologyHalo Wars,Former subsidiary of Microsoft Studios
Epic Games,Cary,North Carolina,USA,United States,1991,Unreal seriesGears of War seriesShadow ComplexInfinity Blade seriesFortnite,"Developer, publisher, and distributor"
Epics,Tokyo,,JPN,Japan,1987,PoPoLoCrois series,
Epicenter Studios,Sherman Oaks,California,USA,United States,2007,Real Heroes: Firefighter,
Epyx,San Francisco,California,USA,United States,1978,California Games seriesImpossible Mission seriesJumpman seriesPitstop seriesSummer Games series,"Developer/publisher, defunct 1993"
ESA (formerly Softmax),Seoul,,KOR,South Korea,1994,TalesWeaver,ESA left from game business. The former employees formed Studio 4Leaf and the studio was acquired by NextFloor [ko].[16]
Étranges Libellules,Lyon,,FRA,France,1994,Asterix & Obelix XXL,
Eugen Systems,Paris,,FRA,France,2000,Act of War seriesWargame seriesSteel Division series,
Eurocom,Derby,England,GBR,United Kingdom,1988,GoldenEye 007,
Evolution Studios,Runcorn,England,GBR,United Kingdom,1999,World Rally Championship seriesMotorStorm series,Division of SIE Worldwide Studios and subsidiary of Sony Computer Entertainment; defunct in 2016
Examu,Tokyo,,JPN,Japan,2007,Arcana Heart series,Their business operations were suspended in 2020 and their business was taken over by Team Arcana.[17]
Eyedentity Games,Seoul,,KOR,South Korea,2007,Dragon Nest,Acquired by Shanda Games (currently Shengqu Games) in 2010
F4,Paris,,FRA,France,2002,Empire of Sports,
Facepunch Studios,Walsall,England,GBR,United Kingdom,2009,Garry's Mod  Rust,
FarSight Studios,Big Bear Lake,California,USA,United States,1989,The Pinball Arcade,
FASA Studio,Redmond,Washington,USA,United States,1994,MechCommander seriesMechWarrior 4,defunct in 2007
Fatshark,Stockholm,,SWE,Sweden,2008,War of the RosesWarhammer: Vermintide series,Subsidiary of Tencent
feelplus,Tokyo,,JPN,Japan,1992,No More Heroes: Heroes' Paradise,Merged into AQ Interactive
Felistella,Gifu,,JPN,Japan,2010,Summon Night 5,
Firaxis Games,Sparks,Maryland,USA,United States,1996,Civilization series (part 3 and later)XCOM (Reboot) series,Subsidiary of 2K Games; founded by former employees of MicroProse.
Firefly Studios,London,England,GBR,United Kingdom,1999,Stronghold series,
Firesprite,Liverpool,England,GBR,United Kingdom,2012,,Formed by former employees of SCE Studio Liverpool
First Star Software,Chappaqua,New York,USA,United States,1982,,Defunct in 2018. Their name and assets were acquired by BBG Entertainment
Flagship Studios,San Francisco,California,USA,United States,2003,Hellgate:LondonMythos,Closed down in 2008
Flight-Plan,Gifu,,JPN,Japan,1989,Black/Matrix seriesSummon Night series,Defunct in 2010
Flying Wild Hog,Warsaw,,POL,Poland,2009,Hard ResetShadow Warrior series,Acquired by Embracer Group in 2020.[18]
Focus Home Interactive,Paris,,FRA,France,1996,Cities XL series (2011 and later),
Foundation 9 Entertainment,Emeryville,California,USA,United States,1992,,Dissolved in 2016
Fox Digital Entertainment,Los Angeles,California,USA,United States,2002,,"Subsidiary of 20th Century Studios. The company still exists, but 20th Century Fox's video game business was rearranged to FoxNext."
FoxNext,Los Angeles,California,USA,United States,2017,Marvel Strike Force,Division of 20th Century Studios. The company still exists but their game development studios were acquired by Scopely in 2020.[19]
Frictional Games,Helsingborg,,SWE,Sweden,2001,Penumbra seriesAmnesia: The Dark DescentSOMA,
Frogwares,Kyiv,,UKR,Ukraine,2000,Adventures of Sherlock Holmes series,
FromSoftware,Tokyo,,JPN,Japan,1986,Armored Core series Souls series  Demon's Souls Dark Souls series BloodborneSekiro: Shadows Die Twice,Subsidiary of Kadokawa Corporation
Frontier Developments,Cambridge,England,GBR,United Kingdom,1994,Elite seriesThrillvilleLostWindsKinectimalsRollerCoaster Tycoon 3Planet Coaster,
Frozenbyte,Helsinki,,FIN,Finland,2001,Shadowgrounds seriesTrine series,
FTL Games,San Diego,California,USA,United States,1982,Dungeon Master series,Closed in 1982
FUN Labs,Bucharest,,ROU,Romania,1999,MIB: Alien CrisisCabela's series,
Funcom,Oslo,,NOR,Norway,1993,The Longest Journey seriesAnarchy OnlineAge of ConanThe Secret WorldConan Exiles,Developer/publisher; acquired by Tencent in 2020[20]
FuRyu,Tokyo,,JPN,Japan,2007,Unchained Blades seriesBeyblade Burst seriesCardfight!! Vanguard series,
Futuremark,Espoo,,FIN,Finland,1997,Shattered Horizon,Their game development division was acquired by Rovio Entertainment. Futuremark itself was acquired by UL and was merged into them.
Gaijin Entertainment,Moscow,,RUS,Russia,2002,War ThunderIL-2 Sturmovik: Birds of Prey,
Game Arts,"Chiyoda, Tokyo",,JPN,Japan,1985,Thexder seriesLunar seriesGrandia series,Acquired by GungHo Online Entertainment in 2005.
Game Freak,"Setagaya-ku, Tokyo",,JPN,Japan,1989,Pokémon series,
GameHouse,Seattle,Washington,USA,United States,1998,Delicious series,"Casual game developer, publisher and portal; acquired by RealNetworks"
Gameloft,Paris,,FRA,France,1999,Modern Combat: DominationOrder & Chaos OnlineAssassin's Creed (for mobile)Asphalt,Subsidiary of Vivendi; developer/publisher of mobile games
Ganbarion,Fukuoka,,JPN,Japan,1999,One Piece seriesJump Super Stars seriesWii Fit UDragon Ball Fusions,
Gearbox Software,Plano,Texas,USA,United States,1999,Brothers In Arms seriesBorderlands seriesHalf-Life: Opposing Force,
Geewa,Prague,,CZE,Czech Republic,2005,,
Genius Sonority,Tokyo,,JPN,Japan,2002,Pokémon Colosseum seriesPokémon Trozei! seriesThe Denpa Men series,
Genki,"Shinjuku, Tokyo",,JPN,Japan,1990,Shutokou Battle series,Subsidiary of Daikoku Denki [ja]
Glu Mobile,San Francisco,California,USA,United States,2001,Deer Hunter series,Developer and publisher of mobile games
Gogii Games,Moncton,New Brunswick,CAN,Canada,2006,,Developer/publisher
